Exchg,symbol,asset,price,vol24,change24
BINANCE,BTC-USDT,BTC,48728.1394469702,1890663590.0828736,1.801573382375135
BINANCE,ETH-USDT,ETH,3517.051665860282,1442266284.673788,-0.2819948619940598
BINANCE,SOL-USDT,SOL,158.77019810068458,1411482250.6599383,9.448466046190957
BINANCE,AVAX-USDT,AVAX,73.51203685799389,944401876.510231,15.392464678178952
BINANCE,BUSD-USDT,BUSD,1.0000457282654378,829568557.9966087,0.01500300060011837
BINANCE,ETH-BUSD,ETH,3517.4549136516225,544805580.5097742,-0.27572930045563704
BINANCE,GALA-USDT,GALA,0.10946047798255128,498543368.0954556,2.963311382878632
BINANCE,DOT-USDT,DOT,35.09835975146311,476510075.75384396,-2.351140790205896
BINANCE,BTC-BUSD,BTC,48723.51863101269,474845619.9241956,1.7773744196039574
BINANCE,ETH-BTC,ETH,3517.4655530231785,400654233.5083537,-2.0390299510090024
BINANCE,BNB-USDT,BNB,418.9901073621732,358934131.4130987,0.0836120401337711
BINANCE,ADA-USDT,ADA,2.4047301901237508,335398771.03509426,-0.43478260869566865
BINANCE,DYDX-USDT,DYDX,16.851113054061194,324948118.91237444,5.0205684367987935
BINANCE,XRP-USDT,XRP,1.0881541623473268,310189719.5407187,-0.14225403817914284
BINANCE,FIL-USDT,FIL,86.20325171042492,291657442.2934843,3.301773729626073
BINANCE,SOL-BUSD,SOL,158.78267013194449,284884706.97559917,9.454708396525579
BINANCE,FTM-USDT,FTM,1.418785811694348,277673909.60971576,5.3896441571948515
BINANCE,EOS-USDT,EOS,5.309008198907022,276043029.640644,0.9796461860376786
BINANCE,FOR-USDT,FOR,0.1156160672194869,272752040.99680513,8.244382022471903
BINANCE,SHIB-USDT,SHIB,8.165781660370318e-06,264886233.51473194,-7.321225879682176
BINANCE,TRX-USDT,TRX,0.10772031140704065,247003118.74733374,-6.012216404886557
BINANCE,SUSHI-USDT,SUSHI,12.961740748221617,238224864.96612868,-7.675594814076084
BINANCE,DOGE-USDT,DOGE,0.2447734306644991,236112770.9804802,-2.6451869530628547
BINANCE,GALA-BUSD,GALA,0.10943528636459572,228432107.26323032,2.8864234674689766
BINANCE,ATOM-USDT,ATOM,36.0984554845152,228123786.9366151,1.2766554433221051
BINANCE,MATIC-USDT,MATIC,1.4086348400038693,202727825.7942213,2.5109170305676836
BINANCE,LUNA-USDT,LUNA,35.76842389260801,197131673.1385804,0.097956898964466
BINANCE,LINK-USDT,LINK,29.24779971310838,195011044.721333,-1.565129585997992
BINANCE,FTT-USDT,FTT,66.0763250827516,193369779.78807208,-0.5868191393319299
BINANCE,SOL-BTC,SOL,158.79260779858046,188652922.52467233,7.515919363885308
BINANCE,FOR-BUSD,FOR,0.11550557959527373,187559564.92357558,8.176454060129238
BINANCE,AVAX-TRY,AVAX,73.55536081543323,165642515.20736235,16.253671071953026
BINANCE,USDC-USDT,USDC,1.0001457378387428,148466125.97943735,0.03501050315093032
BINANCE,ALGO-USDT,ALGO,2.0065420740090616,142927860.0223364,-1.3060160362044297
BINANCE,AVAX-BUSD,AVAX,73.50855089307875,132371317.86867237,15.356246076585053
BINANCE,CELR-USDT,CELR,0.12189666842305402,130186638.83210373,5.118585597240187
BINANCE,IOTA-USDT,IOTA,1.6824610517135317,128415740.95302375,10.387139107611555
BINANCE,ADA-BUSD,ADA,2.40461615702888,121927745.95438254,-0.4759933774834556
BINANCE,AVAX-BTC,AVAX,73.52448101294631,121737721.96652383,13.32807570977918
BINANCE,HBAR-USDT,HBAR,0.44229233794228695,116537542.17690267,-2.908891328210754
BINANCE,USDT-TRY,USDT,1.0004620758578187,113587662.87539469,0.7072714519522951
BINANCE,BNB-BUSD,BNB,418.97023871376564,113111821.60220772,0.0836120401337711
BINANCE,ETH-EUR,ETH,3519.210638160262,110293290.30829747,0.07577523898343391
BINANCE,COTI-USDT,COTI,0.4282409928929051,109625279.44418797,19.10987482614744
BINANCE,CRV-USDT,CRV,2.9177793011794737,105615051.10533899,-3.137450199203188
BINANCE,ELF-USDT,ELF,0.9637422531556469,100843441.13931532,-15.999825662482566
BINANCE,USDC-BUSD,USDC,1.0000983105995973,99437549.59415624,0.004999999999988347
